================================================================================
Old Branches Report
================================================================================
Generated: 2025-11-12 19:56:01 UTC
Threshold: 1 day(s)

Total old branches: 281

Branches to delete:

  codex/refactor-application-for-transit-overlays                        110d old (last: 2025-07-25)
  codex/create-config.example.js-with-api-key-placeholder                109d old (last: 2025-07-26)
  codex/delete-openapi-1.json-and-temporary-files                        109d old (last: 2025-07-26)
  codex/remove-default-person-b-information                              109d old (last: 2025-07-26)
  codex/reorganize-project-structure-with-wovenmap                       109d old (last: 2025-07-26)
  codex/update-readme-with-new-instructions                              109d old (last: 2025-07-26)
  codex/ensure-apidata.detail-is-a-string                                106d old (last: 2025-07-29)
  codex/add-glossary-terms-to-readme.md                                  105d old (last: 2025-07-30)
  codex/add-integration-note-to-readme-file                              105d old (last: 2025-07-30)
  codex/fix-missing-fields-error-in-request                              105d old (last: 2025-07-29)
  codex/fix-undefined-object-error-in-chart                              105d old (last: 2025-07-30)
  codex/update-country-code-validation-message                           105d old (last: 2025-07-30)
  codex/add-api-key-presence-check                                       104d old (last: 2025-07-31)
  codex/add-error-handling-to-astrology-functions                        104d old (last: 2025-07-30)
  codex/decide-project-licensing-and-update-documentation                104d old (last: 2025-07-30)
  codex/fix-api-error-when-generating-report                             104d old (last: 2025-07-31)
  codex/fix-external-api-error-in-dropdown                               104d old (last: 2025-07-31)
  codex/fix-json-syntax-and-validate                                     104d old (last: 2025-07-30)
  codex/update-error-handling-in-getchartdatafromapi                     104d old (last: 2025-07-31)
  codex/wrap-console.error-in-astrology.js                               104d old (last: 2025-07-31)
  copilot/fix-f6e82f54-71ed-4430-98c6-de1caa4e1d90                       102d old (last: 2025-08-02)
  copilot/fix-925cfa18-71f9-43e0-9e3e-c99287df5a3f                        83d old (last: 2025-08-21)
  copilot/fix-e79e6a74-0ca9-4b65-adb5-f47fe3267ebe                        83d old (last: 2025-08-21)
  copilot/fix-07cd75fd-1ac0-44a5-adcf-4ac8d48635e7                        82d old (last: 2025-08-21)
  copilot/fix-0b19b383-3435-4766-be78-14a77006a258                        82d old (last: 2025-08-21)
  copilot/fix-0c9d168b-35ae-44cd-a257-ce862ced51c0                        82d old (last: 2025-08-21)
  copilot/fix-26213c81-e071-48aa-81e0-66645d9876e7                        82d old (last: 2025-08-21)
  copilot/fix-31                                                          82d old (last: 2025-08-21)
  copilot/fix-34                                                          82d old (last: 2025-08-21)
  copilot/fix-45563531-0a68-4387-a36e-45e97da9b1b8                        82d old (last: 2025-08-22)
  copilot/fix-581002cf-689b-4afe-94ea-7a15595ed847                        82d old (last: 2025-08-22)
  copilot/fix-6ce62961-f0e6-49c7-9058-b03ac9415665                        82d old (last: 2025-08-21)
  copilot/fix-6dc8162a-0655-4a28-92c2-b3f353bef901                        82d old (last: 2025-08-22)
  copilot/fix-86cd59e6-0299-49a4-99cc-23a4d4433430                        82d old (last: 2025-08-22)
  copilot/fix-9c52c6df-5a1e-4cd0-930c-f78bea2a0156                        82d old (last: 2025-08-21)
  copilot/fix-a4cc9020-91fe-4038-a2cc-0cb55a1891f6                        82d old (last: 2025-08-21)
  copilot/fix-a69409b9-6a62-4784-a69d-01cb1fcddf50                        82d old (last: 2025-08-22)
  fix-missing-transits                                                    82d old (last: 2025-08-22)
  fix-single-day-transits                                                 82d old (last: 2025-08-22)
  fix/end-to-end-transit-logic                                            82d old (last: 2025-08-21)
  copilot/fix-360586f8-7e73-4d64-9cd5-70568c1905da                        81d old (last: 2025-08-22)
  copilot/fix-4c9bb9ac-aeb6-4401-97e6-4f860c0862ca                        81d old (last: 2025-08-23)
  copilot/fix-51be708d-65a2-43c6-85f7-aa6619e48234                        81d old (last: 2025-08-23)
  copilot/fix-5c646122-e59b-406c-8925-c26f96121a87                        81d old (last: 2025-08-23)
  copilot/fix-50                                                          80d old (last: 2025-08-24)
  copilot/fix-4dd7469c-9237-40d4-ab8e-6925220c389c                        79d old (last: 2025-08-24)
  copilot/fix-1d91bbb6-6bd1-409d-9749-16848b93bf1f                        78d old (last: 2025-08-25)
  copilot/fix-94025603-cfc2-4ca0-bf00-4271a38c38b6                        78d old (last: 2025-08-25)
  copilot/fix-6cb5d9e5-4a51-4355-89f0-90371b49be4f                        76d old (last: 2025-08-28)
